Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh),Nuclear per capita (kWh - equivalent),Hydro per capita (kWh - equivalent),Wind per capita (kWh - equivalent),Solar per capita (kWh - equivalent),Other renewables per capita (kWh - equivalent)
Africa,,1965,1006.3736,1061.6443,29.689943,0,127.91771,0,,
Africa,,1966,980.1728,1120.8165,32.366585,0,139.12256,0,,
Africa,,1967,976.7318,1088.6127,31.185446,0,141.5766,0,,
Africa,,1968,990.00653,1121.6766,30.805683,0,161.39375,0,,
Africa,,1969,973.52277,1114.7306,35.082924,0,183.53687,0,,
Africa,,1970,987.1568,1186.9525,42.46903,0,223.56761,0,,
Africa,,1971,1021.13116,1262.5507,49.06941,0,205.07632,0,0,1.3957357
Africa,,1972,998.12964,1326.6609,64.09115,0,227.63846,0,0,1.3683333
Africa,,1973,1034.6597,1390.9475,100.0773,0,234.52934,0,0,1.3731216
Africa,,1974,1048.2109,1398.2831,109.63275,0,259.72705,0,0,1.3757156
Africa,,1975,1080.2848,1428.3192,128.45761,0,267.1052,0,0,1.3149323
Africa,,1976,1119.8885,1519.1366,141.95807,0,287.7161,0,0,1.3747544
Africa,,1977,1113.191,1573.8364,154.48024,0,307.47186,0,0,1.3659141
Africa,,1978,1051.3849,1611.0903,214.25261,0,301.2987,0,0,1.3697037
Africa,,1979,1083.9161,1647.3884,318.05634,0,313.18652,0,0,1.3710804
Africa,,1980,1128.7816,1697.1249,388.15622,0,296.6659,0,0,1.3722266
Africa,,1981,1282.7428,1783.2175,460.9876,0,299.4415,0,0,1.4039998
Africa,,1982,1373.3988,1812.2501,483.27896,0,290.78845,0,0,1.4756129
Africa,,1983,1357.6967,1836.0695,516.38513,0,254.68562,0,0,1.3975966
Africa,,1984,1412.2948,1817.443,481.13828,20.617537,243.54031,0,0,1.3828195
Africa,,1985,1416.6501,1812.4475,501.82892,27.141745,263.15378,0,0,1.5453945
Africa,,1986,1408.8351,1729.3776,548.0153,43.69594,264.56253,0,0,3.4516714
Africa,,1987,1408.5153,1771.9844,549.89856,29.756077,246.66612,0,0,3.3552184
Africa,,1988,1472.529,1796.9354,592.9491,49.25306,262.15427,0,0,3.1161609
Africa,,1989,1345.2413,1809.3762,598.02026,50.700584,267.8956,0,0,2.9863503
Africa,,1990,1375.3315,1790.158,624.68176,37.56778,265.29718,0,0,3.800575
Africa,,1991,1303.3724,1753.639,613.1459,39.610104,273.79327,0,0,3.7962933
Africa,,1992,1278.1521,1742.0287,626.95386,39.22249,254.62743,0,0,3.8577702
Africa,,1993,1264.9296,1712.3896,598.78076,29.87225,243.21544,0.008585577,0,4.203577
Africa,,1994,1266.0471,1729.518,611.23126,38.946674,241.06674,0.022607898,0,3.6418378
Africa,,1995,1273.5476,1748.8966,636.7846,44.270798,243.9985,0.025732523,0,4.298539
Africa,,1996,1259.1172,1742.1002,651.8774,44.982918,248.0853,0.028272735,0,5.2192774
Africa,,1997,1259.8369,1750.1703,623.30536,47.142513,248.03598,0.027952028,0,5.6443553
Africa,,1998,1201.4733,1748.2933,640.2509,49.48407,252.7192,0.028813927,0,6.8202176
Africa,,1999,1208.8739,1770.1924,630.73444,45.582775,261.56012,0.07325675,0,6.59672
Africa,,2000,1176.7845,1734.3945,679.9203,45.077187,271.72598,0.63367707,0.04312081,8.656528
Africa,,2001,1162.5586,1706.6414,756.00146,35.996555,283.0095,1.4543632,0.052361775,8.666761
